Community,Task,Field,Value
C26231 - Osprey Ranch THs (26231),First Lot Takedown/Open Escrow,Due On,2023-06-23
C26231 - Osprey Ranch THs (26231),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26231 - Osprey Ranch THs (26231),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26231 - Osprey Ranch THs (26231),Start Production,Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),Start Production,Due On,2023-06-30
C26231 - Osprey Ranch THs (26231),Start Production,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Start Production,CIP-Team,Construction
C26231 - Osprey Ranch THs (26231),Start Production,CIP-Line ID,P1032.C
C26231 - Osprey Ranch THs (26231),1st Production Foundation Start,Assignee,1202453112366854
C26231 - Osprey Ranch THs (26231),1st Production Foundation Start,Due On,2023-07-07
C26231 - Osprey Ranch THs (26231),1st Production Foundation Start,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),1st Production Foundation Start,CIP-Team,Operations
C26231 - Osprey Ranch THs (26231),1st Production Foundation Start,CIP-Line ID,P1103.C
C26232 - Osprey Ranch 32/40 (26232),ID Property,Assignee,1202483398164627
C26232 - Osprey Ranch 32/40 (26232),ID Property,Due On,2022-11-09
C26232 - Osprey Ranch 32/40 (26232),ID Property,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),ID Property,CIP-Team,"Architecture, Land Acq"
C26232 - Osprey Ranch 32/40 (26232),ID Property,CIP-Line ID,P1000.C
C26232 - Osprey Ranch 32/40 (26232),Submit for Model Permit,Assignee,1199128502925200
C26232 - Osprey Ranch 32/40 (26232),Submit for Model Permit,Due On,2022-12-26
C26232 - Osprey Ranch 32/40 (26232),Submit for Model Permit,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Submit for Model Permit,CIP-Team,Construction
C26232 - Osprey Ranch 32/40 (26232),Submit for Model Permit,CIP-Line ID,P1066.C
C26232 - Osprey Ranch 32/40 (26232),Plan Approval,Assignee,1202453112366854
C26232 - Osprey Ranch 32/40 (26232),Plan Approval,Due On,2023-01-02
C26232 - Osprey Ranch 32/40 (26232),Plan Approval,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Plan Approval,CIP-Team,Architecture
C26232 - Osprey Ranch 32/40 (26232),Plan Approval,CIP-Line ID,P1010.C
C26232 - Osprey Ranch 32/40 (26232),Begin Bid Process,Assignee,1202584680648809
C26232 - Osprey Ranch 32/40 (26232),Begin Bid Process,Due On,2023-01-09
C26232 - Osprey Ranch 32/40 (26232),Begin Bid Process,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Begin Bid Process,CIP-Team,Purchasing
C26232 - Osprey Ranch 32/40 (26232),Begin Bid Process,CIP-Line ID,P1011.C
C26232 - Osprey Ranch 32/40 (26232),Contract Signed,Assignee,1202483398164627
C26232 - Osprey Ranch 32/40 (26232),Contract Signed,Due On,2023-01-16
C26232 - Osprey Ranch 32/40 (26232),Contract Signed,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Contract Signed,CIP-Team,Legal
C26232 - Osprey Ranch 32/40 (26232),Contract Signed,CIP-Line ID,P1083.C
C26232 - Osprey Ranch 32/40 (26232),LD Start,Assignee,1199128502925200
C26232 - Osprey Ranch 32/40 (26232),LD Start,Due On,2023-01-30
C26232 - Osprey Ranch 32/40 (26232),LD Start,Start On,2023-01-23
C26232 - Osprey Ranch 32/40 (26232),LD Start,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),LD Start,CIP-Team,Land Dev
C26232 - Osprey Ranch 32/40 (26232),LD Start,CIP-Line ID,P1086.C
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),Assignee,1199128502925200
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),Due On,2023-02-03
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),Start On,2023-01-31
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),CIP-Team,Land Dev
C26232 - Osprey Ranch 32/40 (26232),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26232 - Osprey Ranch 32/40 (26232),Model Start,Assignee,1199128502925200
C26232 - Osprey Ranch 32/40 (26232),Model Start,Due On,2023-02-06
C26232 - Osprey Ranch 32/40 (26232),Model Start,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Model Start,CIP-Team,Construction
C26232 - Osprey Ranch 32/40 (26232),Model Start,CIP-Line ID,P1030.C
C26232 - Osprey Ranch 32/40 (26232),Open for Sale,Assignee,1202584680648809
C26232 - Osprey Ranch 32/40 (26232),Open for Sale,Due On,2023-02-13
C26232 - Osprey Ranch 32/40 (26232),Open for Sale,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Open for Sale,CIP-Team,Sales
C26232 - Osprey Ranch 32/40 (26232),Open for Sale,CIP-Line ID,P1029.C
C26232 - Osprey Ranch 32/40 (26232),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26232 - Osprey Ranch 32/40 (26232),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26232 - Osprey Ranch 32/40 (26232),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26232 - Osprey Ranch 32/40 (26232),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26232 - Osprey Ranch 32/40 (26232),Start Production,Assignee,1199128502925200
C26232 - Osprey Ranch 32/40 (26232),Start Production,Due On,2023-02-27
C26232 - Osprey Ranch 32/40 (26232),Start Production,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),Start Production,CIP-Team,Construction
C26232 - Osprey Ranch 32/40 (26232),Start Production,CIP-Line ID,P1032.C
C26232 - Osprey Ranch 32/40 (26232),1st Production Foundation Start,Assignee,1202453112366854
C26232 - Osprey Ranch 32/40 (26232),1st Production Foundation Start,Due On,2023-03-06
C26232 - Osprey Ranch 32/40 (26232),1st Production Foundation Start,CIP-Milestone,*
C26232 - Osprey Ranch 32/40 (26232),1st Production Foundation Start,CIP-Team,Operations
C26232 - Osprey Ranch 32/40 (26232),1st Production Foundation Start,CIP-Line ID,P1103.C
C26233 - Osprey Ranch 50s (26233),ID Property,Assignee,1202483398164627
C26233 - Osprey Ranch 50s (26233),ID Property,Due On,2022-11-09
C26233 - Osprey Ranch 50s (26233),ID Property,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),ID Property,CIP-Team,"Architecture, Land Acq"
C26233 - Osprey Ranch 50s (26233),ID Property,CIP-Line ID,P1000.C
C26233 - Osprey Ranch 50s (26233),Submit for Model Permit,Assignee,1199128502925200
C26233 - Osprey Ranch 50s (26233),Submit for Model Permit,Due On,2022-12-26
C26233 - Osprey Ranch 50s (26233),Submit for Model Permit,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Submit for Model Permit,CIP-Team,Construction
C26233 - Osprey Ranch 50s (26233),Submit for Model Permit,CIP-Line ID,P1066.C
C26233 - Osprey Ranch 50s (26233),Plan Approval,Assignee,1202453112366854
C26233 - Osprey Ranch 50s (26233),Plan Approval,Due On,2023-01-02
C26233 - Osprey Ranch 50s (26233),Plan Approval,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Plan Approval,CIP-Team,Architecture
C26233 - Osprey Ranch 50s (26233),Plan Approval,CIP-Line ID,P1010.C
C26233 - Osprey Ranch 50s (26233),Begin Bid Process,Assignee,1202584680648809
C26233 - Osprey Ranch 50s (26233),Begin Bid Process,Due On,2023-01-09
C26233 - Osprey Ranch 50s (26233),Begin Bid Process,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Begin Bid Process,CIP-Team,Purchasing
C26233 - Osprey Ranch 50s (26233),Begin Bid Process,CIP-Line ID,P1011.C
C26233 - Osprey Ranch 50s (26233),Contract Signed,Assignee,1202483398164627
C26233 - Osprey Ranch 50s (26233),Contract Signed,Due On,2023-01-16
C26233 - Osprey Ranch 50s (26233),Contract Signed,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Contract Signed,CIP-Team,Legal
C26233 - Osprey Ranch 50s (26233),Contract Signed,CIP-Line ID,P1083.C
C26233 - Osprey Ranch 50s (26233),LD Start,Assignee,1199128502925200
C26233 - Osprey Ranch 50s (26233),LD Start,Due On,2023-01-30
C26233 - Osprey Ranch 50s (26233),LD Start,Start On,2023-01-23
C26233 - Osprey Ranch 50s (26233),LD Start,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),LD Start,CIP-Team,Land Dev
C26233 - Osprey Ranch 50s (26233),LD Start,CIP-Line ID,P1086.C
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),Assignee,1199128502925200
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),Due On,2023-02-03
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),Start On,2023-01-31
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),CIP-Team,Land Dev
C26233 - Osprey Ranch 50s (26233),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26233 - Osprey Ranch 50s (26233),Model Start,Assignee,1199128502925200
C26233 - Osprey Ranch 50s (26233),Model Start,Due On,2023-02-06
C26233 - Osprey Ranch 50s (26233),Model Start,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Model Start,CIP-Team,Construction
C26233 - Osprey Ranch 50s (26233),Model Start,CIP-Line ID,P1030.C
C26233 - Osprey Ranch 50s (26233),Open for Sale,Assignee,1202584680648809
C26233 - Osprey Ranch 50s (26233),Open for Sale,Due On,2023-02-13
C26233 - Osprey Ranch 50s (26233),Open for Sale,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Open for Sale,CIP-Team,Sales
C26233 - Osprey Ranch 50s (26233),Open for Sale,CIP-Line ID,P1029.C
C26233 - Osprey Ranch 50s (26233),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26233 - Osprey Ranch 50s (26233),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26233 - Osprey Ranch 50s (26233),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26233 - Osprey Ranch 50s (26233),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26233 - Osprey Ranch 50s (26233),Start Production,Assignee,1199128502925200
C26233 - Osprey Ranch 50s (26233),Start Production,Due On,2023-02-27
C26233 - Osprey Ranch 50s (26233),Start Production,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),Start Production,CIP-Team,Construction
C26233 - Osprey Ranch 50s (26233),Start Production,CIP-Line ID,P1032.C
C26233 - Osprey Ranch 50s (26233),1st Production Foundation Start,Assignee,1202453112366854
C26233 - Osprey Ranch 50s (26233),1st Production Foundation Start,Due On,2023-03-06
C26233 - Osprey Ranch 50s (26233),1st Production Foundation Start,CIP-Milestone,*
C26233 - Osprey Ranch 50s (26233),1st Production Foundation Start,CIP-Team,Operations
C26233 - Osprey Ranch 50s (26233),1st Production Foundation Start,CIP-Line ID,P1103.C
C26248 - Osprey Ranch Master (26248),ID Property,Assignee,1202483398164627
C26248 - Osprey Ranch Master (26248),ID Property,Due On,2022-11-09
C26248 - Osprey Ranch Master (26248),ID Property,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),ID Property,CIP-Team,"Architecture, Land Acq"
C26248 - Osprey Ranch Master (26248),ID Property,CIP-Line ID,P1000.C
C26248 - Osprey Ranch Master (26248),Submit for Model Permit,Assignee,1199128502925200
C26248 - Osprey Ranch Master (26248),Submit for Model Permit,Due On,2022-12-26
C26248 - Osprey Ranch Master (26248),Submit for Model Permit,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Submit for Model Permit,CIP-Team,Construction
C26248 - Osprey Ranch Master (26248),Submit for Model Permit,CIP-Line ID,P1066.C
C26248 - Osprey Ranch Master (26248),Plan Approval,Assignee,1202453112366854
C26248 - Osprey Ranch Master (26248),Plan Approval,Due On,2023-01-02
C26248 - Osprey Ranch Master (26248),Plan Approval,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Plan Approval,CIP-Team,Architecture
C26248 - Osprey Ranch Master (26248),Plan Approval,CIP-Line ID,P1010.C
C26248 - Osprey Ranch Master (26248),Begin Bid Process,Assignee,1202584680648809
C26248 - Osprey Ranch Master (26248),Begin Bid Process,Due On,2023-01-09
C26248 - Osprey Ranch Master (26248),Begin Bid Process,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Begin Bid Process,CIP-Team,Purchasing
C26248 - Osprey Ranch Master (26248),Begin Bid Process,CIP-Line ID,P1011.C
C26248 - Osprey Ranch Master (26248),Contract Signed,Assignee,1202483398164627
C26248 - Osprey Ranch Master (26248),Contract Signed,Due On,2023-01-16
C26248 - Osprey Ranch Master (26248),Contract Signed,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Contract Signed,CIP-Team,Legal
C26248 - Osprey Ranch Master (26248),Contract Signed,CIP-Line ID,P1083.C
C26248 - Osprey Ranch Master (26248),LD Start,Assignee,1199128502925200
C26248 - Osprey Ranch Master (26248),LD Start,Due On,2023-01-30
C26248 - Osprey Ranch Master (26248),LD Start,Start On,2023-01-23
C26248 - Osprey Ranch Master (26248),LD Start,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),LD Start,CIP-Team,Land Dev
C26248 - Osprey Ranch Master (26248),LD Start,CIP-Line ID,P1086.C
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),Assignee,1199128502925200
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),Due On,2023-02-03
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),Start On,2023-01-31
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),CIP-Team,Land Dev
C26248 - Osprey Ranch Master (26248),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26248 - Osprey Ranch Master (26248),Model Start,Assignee,1199128502925200
C26248 - Osprey Ranch Master (26248),Model Start,Due On,2023-02-06
C26248 - Osprey Ranch Master (26248),Model Start,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Model Start,CIP-Team,Construction
C26248 - Osprey Ranch Master (26248),Model Start,CIP-Line ID,P1030.C
C26248 - Osprey Ranch Master (26248),Open for Sale,Assignee,1202584680648809
C26248 - Osprey Ranch Master (26248),Open for Sale,Due On,2023-02-13
C26248 - Osprey Ranch Master (26248),Open for Sale,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Open for Sale,CIP-Team,Sales
C26248 - Osprey Ranch Master (26248),Open for Sale,CIP-Line ID,P1029.C
C26248 - Osprey Ranch Master (26248),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26248 - Osprey Ranch Master (26248),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26248 - Osprey Ranch Master (26248),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26248 - Osprey Ranch Master (26248),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26248 - Osprey Ranch Master (26248),Start Production,Assignee,1199128502925200
C26248 - Osprey Ranch Master (26248),Start Production,Due On,2023-02-27
C26248 - Osprey Ranch Master (26248),Start Production,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),Start Production,CIP-Team,Construction
C26248 - Osprey Ranch Master (26248),Start Production,CIP-Line ID,P1032.C
C26248 - Osprey Ranch Master (26248),1st Production Foundation Start,Assignee,1202453112366854
C26248 - Osprey Ranch Master (26248),1st Production Foundation Start,Due On,2023-03-06
C26248 - Osprey Ranch Master (26248),1st Production Foundation Start,CIP-Milestone,*
C26248 - Osprey Ranch Master (26248),1st Production Foundation Start,CIP-Team,Operations
C26248 - Osprey Ranch Master (26248),1st Production Foundation Start,CIP-Line ID,P1103.C
C26236 - Rivington SF (26236),ID Property,Assignee,1202483398164627
C26236 - Rivington SF (26236),ID Property,Due On,2022-11-09
C26236 - Rivington SF (26236),ID Property,CIP-Milestone,*
C26236 - Rivington SF (26236),ID Property,CIP-Team,"Architecture, Land Acq"
C26236 - Rivington SF (26236),ID Property,CIP-Line ID,P1000.C
C26236 - Rivington SF (26236),Submit for Model Permit,Assignee,1199128502925200
C26236 - Rivington SF (26236),Submit for Model Permit,Due On,2022-12-26
C26236 - Rivington SF (26236),Submit for Model Permit,CIP-Milestone,*
C26236 - Rivington SF (26236),Submit for Model Permit,CIP-Team,Construction
C26236 - Rivington SF (26236),Submit for Model Permit,CIP-Line ID,P1066.C
C26236 - Rivington SF (26236),Plan Approval,Assignee,1202453112366854
C26236 - Rivington SF (26236),Plan Approval,Due On,2023-01-02
C26236 - Rivington SF (26236),Plan Approval,CIP-Milestone,*
C26236 - Rivington SF (26236),Plan Approval,CIP-Team,Architecture
C26236 - Rivington SF (26236),Plan Approval,CIP-Line ID,P1010.C
C26236 - Rivington SF (26236),Begin Bid Process,Assignee,1202584680648809
C26236 - Rivington SF (26236),Begin Bid Process,Due On,2023-01-09
C26236 - Rivington SF (26236),Begin Bid Process,CIP-Milestone,*
C26236 - Rivington SF (26236),Begin Bid Process,CIP-Team,Purchasing
C26236 - Rivington SF (26236),Begin Bid Process,CIP-Line ID,P1011.C
C26236 - Rivington SF (26236),Contract Signed,Assignee,1202483398164627
C26236 - Rivington SF (26236),Contract Signed,Due On,2023-01-16
C26236 - Rivington SF (26236),Contract Signed,CIP-Milestone,*
C26236 - Rivington SF (26236),Contract Signed,CIP-Team,Legal
C26236 - Rivington SF (26236),Contract Signed,CIP-Line ID,P1083.C
C26236 - Rivington SF (26236),LD Start,Assignee,1199128502925200
C26236 - Rivington SF (26236),LD Start,Due On,2023-01-30
C26236 - Rivington SF (26236),LD Start,Start On,2023-01-23
C26236 - Rivington SF (26236),LD Start,CIP-Milestone,*
C26236 - Rivington SF (26236),LD Start,CIP-Team,Land Dev
C26236 - Rivington SF (26236),LD Start,CIP-Line ID,P1086.C
C26236 - Rivington SF (26236),Energize Site (Site Hot),Assignee,1199128502925200
C26236 - Rivington SF (26236),Energize Site (Site Hot),Due On,2023-02-03
C26236 - Rivington SF (26236),Energize Site (Site Hot),Start On,2023-01-31
C26236 - Rivington SF (26236),Energize Site (Site Hot),CIP-Milestone,*
C26236 - Rivington SF (26236),Energize Site (Site Hot),CIP-Team,Land Dev
C26236 - Rivington SF (26236),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26236 - Rivington SF (26236),Model Start,Assignee,1199128502925200
C26236 - Rivington SF (26236),Model Start,Due On,2023-02-06
C26236 - Rivington SF (26236),Model Start,CIP-Milestone,*
C26236 - Rivington SF (26236),Model Start,CIP-Team,Construction
C26236 - Rivington SF (26236),Model Start,CIP-Line ID,P1030.C
C26236 - Rivington SF (26236),Open for Sale,Assignee,1202584680648809
C26236 - Rivington SF (26236),Open for Sale,Due On,2023-02-13
C26236 - Rivington SF (26236),Open for Sale,CIP-Milestone,*
C26236 - Rivington SF (26236),Open for Sale,CIP-Team,Sales
C26236 - Rivington SF (26236),Open for Sale,CIP-Line ID,P1029.C
C26236 - Rivington SF (26236),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26236 - Rivington SF (26236),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26236 - Rivington SF (26236),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26236 - Rivington SF (26236),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26236 - Rivington SF (26236),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26236 - Rivington SF (26236),Start Production,Assignee,1199128502925200
C26236 - Rivington SF (26236),Start Production,Due On,2023-02-27
C26236 - Rivington SF (26236),Start Production,CIP-Milestone,*
C26236 - Rivington SF (26236),Start Production,CIP-Team,Construction
C26236 - Rivington SF (26236),Start Production,CIP-Line ID,P1032.C
